Feature,Importance Mean,Importance Std
cp_4,0.03777777777777775,0.026504134315281248
ca_0.0,0.0333333333333333,0.02151657414559675
cp_1,0.02888888888888886,0.009558139185602933
exang,0.02555555555555552,0.017603310575283172
slope_1,0.022777777777777744,0.013252067157640627
slope_2,0.018333333333333302,0.01572330188676101
thal_3.0,0.014999999999999973,0.02208988372452337
sex,0.014999999999999973,0.01512295287646244
thal_7.0,0.014999999999999965,0.019412672455173488
ca_2.0,0.01388888888888885,0.012969575033254159
oldpeak,0.011666666666666629,0.014999999999999994
restecg_2,0.007222222222222189,0.013391078659104381
trestbps,0.0033333333333333253,0.007934920476158708
chol,0.002777777777777768,0.006211299937499395
ca_1.0,0.0016666666666666423,0.012435016269777428
age,0.0016666666666666423,0.013844373104863462
ca_3.0,0.0011111111111111072,0.004157397096415475
restecg_1,0.0,0.0
slope_3,0.0,0.0
thalach,0.0,0.0
thal_6.0,0.0,0.0
restecg_0,0.0,0.0
fbs,-0.0011111111111111146,0.0041573970964155025
cp_3,-0.0011111111111111367,0.014229164972073004
cp_2,-0.005555555555555573,0.007856742013183886
