Feature,Importance Mean,Importance Std
ChestPainType_ASY,0.04533333333333329,0.013154354299509988
ST_Slope_Up,0.04377777777777776,0.014161327970093162
ST_Slope_Flat,0.041999999999999975,0.015216949614017762
Sex,0.03622222222222219,0.010979217179587221
ExerciseAngina,0.022666666666666647,0.014047538337136985
Oldpeak,0.013555555555555527,0.009658361694266992
RestingBP,0.012888888888888861,0.006425258797689327
MaxHR,0.008222222222222197,0.008551947291063943
Age,0.005111111111111074,0.00659592092429148
ChestPainType_ATA,0.0033333333333332993,0.005374838498865687
RestingECG_Normal,0.002888888888888856,0.005072316538005907
Cholesterol,0.001555555555555536,0.004103596736137625
RestingECG_LVH,0.0006666666666666377,0.0062893207547044
ST_Slope_Down,0.00022222222222221256,0.0027125679146074804
ChestPainType_NAP,0.0,0.0
FastingBS,-0.001111111111111133,0.00546594394499949
ChestPainType_TA,-0.0015555555555555657,0.002819683897877689
RestingECG_ST,-0.0017777777777777891,0.002948110924760374
