Feature,Importance Mean,Importance Std
cp_4,0.050555555555555506,0.027380492289670235
cp_1,0.029999999999999968,0.010886621079036355
sex,0.02944444444444441,0.02049540749521857
ca_0.0,0.02611111111111108,0.01909204475271064
exang,0.02555555555555552,0.017603310575283172
slope_1,0.022777777777777744,0.013252067157640627
slope_2,0.018333333333333302,0.01572330188676101
thal_6.0,0.016111111111111055,0.002991758226185826
thal_7.0,0.014999999999999965,0.019412672455173488
oldpeak,0.013888888888888862,0.01829963232444511
ca_2.0,0.01388888888888885,0.012969575033254159
thal_3.0,0.007222222222222208,0.018600743380870224
restecg_2,0.007222222222222189,0.013391078659104381
thalach,0.00611111111111109,0.008031573497111614
slope_3,0.0022222222222222144,0.005665577237325296
trestbps,0.002222222222222207,0.008314794192830967
ca_1.0,0.0016666666666666423,0.012435016269777428
ca_3.0,0.0011111111111111072,0.004157397096415475
restecg_0,0.0,0.0
restecg_1,0.0,0.0
fbs,-0.0011111111111111146,0.0041573970964155025
cp_3,-0.0011111111111111367,0.014229164972073004
cp_2,-0.0011111111111111367,0.011331154474650633
age,-0.003333333333333366,0.012472191289246473
chol,-0.010555555555555589,0.00803157349711167
